Ranks,1
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__solve!,1,43010214813,3389860702,2203892139
Ranks,6
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,3120020767,145544719,68243917
tictoc__mpi_recvwait,674,35795613066,215680,0
tictoc__mpi_recvcopy,674,2420706029,112733165,92333537
tictoc__mpi_sendwait,1124,126277683,359680,0
tictoc__mpi_norm,2,750689511,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,95389225,5669888,0
tictoc__volumeviscterms!,224,5928194461,469269226,283498267
tictoc__faceviscterms!,224,6068117060,443889975,235253287
tictoc__update_aux_diffusive!,224,67885,0,0
tictoc__volumerhs!,224,9413158513,791214437,422038007
tictoc__facerhs!,224,12003877312,828137693,916403917
tictoc__update!,224,489611003,26072762,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,67007283064,2957893201,2304192281
tictoc__solve!,1,63358288224,3388583693,2341268425
Ranks,8
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,3475363065,145570159,0
tictoc__mpi_recvwait,674,5209664263,226464,0
tictoc__mpi_recvcopy,674,2598282537,112733053,64226018
tictoc__mpi_sendwait,1124,6821038,377664,0
tictoc__mpi_norm,2,390527087,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,80265486,5669888,0
tictoc__volumeviscterms!,224,5779220409,469240522,315355041
tictoc__faceviscterms!,224,5736173040,443818119,244087192
tictoc__update_aux_diffusive!,224,55138,0,0
tictoc__volumerhs!,224,9203905542,791106389,411123305
tictoc__facerhs!,224,11721785102,828139277,965841901
tictoc__update!,224,463683228,26072762,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,54724471685,2987822273,2049582040
tictoc__solve!,1,45093830265,3388755485,2249879241
Ranks,10
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,3323844101,145570159,38556223
