Ranks,1
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
Ranks,4
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,2617822559,145544591,40728555
tictoc__mpi_recvwait,674,3599079821,183328,0
tictoc__mpi_recvcopy,674,2084321969,112733053,49035718
tictoc__mpi_sendwait,1124,23114430,305728,0
tictoc__mpi_norm,2,81053732,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,98776950,5669888,0
tictoc__volumeviscterms!,224,5594189836,469321674,249602510
tictoc__faceviscterms!,224,5756575745,443746663,219012840
tictoc__update_aux_diffusive!,224,63883,0,0
tictoc__volumerhs!,224,9422478025,791260997,455286784
tictoc__facerhs!,224,11713079150,829524030,699832030
tictoc__update!,224,546368826,26074202,65617282
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,46347241591,2879835040,1595979980
tictoc__solve!,1,43435126107,3389620574,2040264172
Ranks,6
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,2895357006,145544719,110930432
tictoc__mpi_recvwait,674,17475948091,215680,0
tictoc__mpi_recvcopy,674,2532079129,112733309,202721288
tictoc__mpi_sendwait,1124,76605677,359680,0
tictoc__mpi_norm,2,16949679,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,224,90104754,5655552,0
tictoc__volumeviscterms!,224,6014973559,469254890,273694001
tictoc__faceviscterms!,224,6130077230,443875639,353523718
tictoc__update_aux_diffusive!,224,54178,0,0
tictoc__volumerhs!,224,10267449009,791200101,696386641
tictoc__facerhs!,224,12402108086,828123357,919505187
tictoc__update!,224,584335587,26072762,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,57726066206,2820324817,1722739242
tictoc__solve!,1,53349212171,3388441453,3123662539
Ranks,8
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,674,4858274512,145544719,55704001
tictoc__mpi_recvwait,674,15258142270,226464,0
tictoc__mpi_recvcopy,674,2990374509,112733309,118121796
