Ranks,1
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
Ranks,4
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,170,2518377878,142819087,25635650
tictoc__mpi_recvwait,170,5212977853,46240,0
tictoc__mpi_recvcopy,170,1780567792,110007533,24250924
tictoc__mpi_sendwait,284,1412910,77248,0
tictoc__mpi_norm,2,38364172,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,56,20405342,1417472,0
tictoc__volumeviscterms!,56,5644920698,467382250,238355133
tictoc__faceviscterms!,56,5806228644,439879479,265367916
tictoc__update_aux_diffusive!,56,13509,0,0
tictoc__volumerhs!,56,9263645120,787499621,381497984
tictoc__facerhs!,56,11289311038,823871837,504344449
tictoc__update!,56,500507530,25131962,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,47619095775,3502570481,1617869315
tictoc__solve!,1,43076305913,3363113037,1704562266
Ranks,6
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,170,3242940732,142819087,57575372
tictoc__mpi_recvwait,170,3721806882,54400,0
tictoc__mpi_recvcopy,170,2703415535,110007677,29809939
tictoc__mpi_sendwait,284,17090272,90880,0
tictoc__mpi_norm,2,32641771,772156,0
tictoc__mpi_dot,0,0,0,0
tictoc__mpi_euclidean_distance,0,0,0,0
tictoc__mpi_weightedsum,0,0,0,0
tictoc__update_aux!,56,23192864,1417472,0
tictoc__volumeviscterms!,56,7067556081,467382250,154023568
tictoc__faceviscterms!,56,7365594273,439879479,196186801
tictoc__update_aux_diffusive!,56,21903,0,0
tictoc__volumerhs!,56,12681142778,787499621,534490001
tictoc__facerhs!,56,14207479771,823869501,927125508
tictoc__update!,56,547765778,25131962,0
tictoc__writevtk_Q,0,0,0,0
tictoc__writevtk_Q_aux,0,0,0,0
tictoc__writepvtu,0,0,0,0
tictoc__setup_solver,1,60200301668,3591906720,3807930226
tictoc__solve!,1,55101252161,3363169981,2115274377
Ranks,8
TicToc timing information
name,ncalls,tottime(ns),allocbytes,gctime
tictoc__mpi_sendcopy,170,3723170580,142819087,0
tictoc__mpi_recvwait,170,5131555506,57120,0
tictoc__mpi_recvcopy,170,3180542753,110007533,159479856
