      0.0000       298.1718       18.20000      0.0000000E+00  0.0000000E+00     101520.00  
    132.0000       299.1500       17.60000      0.0000000E+00  0.0000000E+00     100010.00
    583.0000       300.5175       15.30000      0.0000000E+00  0.0000000E+00      94994.98
    1054.000       301.8932       13.00000      0.0000000E+00  0.0000000E+00      89969.39
    1547.000       304.2399       11.00000      0.0000000E+00  0.0000000E+00      84939.39
    2063.000       306.6724       8.400000      0.0000000E+00  0.0000000E+00      79924.93
    2609.000       309.3341       7.100000      0.0000000E+00  0.0000000E+00      74888.04
    3182.000       311.9428       5.800000      0.0000000E+00  0.0000000E+00      69887.94
    3792.000       314.6532       4.600000      0.0000000E+00  0.0000000E+00      64869.88
    4442.000       317.6435       3.600000      0.0000000E+00  0.0000000E+00      59852.61
    5138.000       321.0051       3.200000      0.0000000E+00  0.0000000E+00      54840.77
    5888.000       324.4946       2.100000      0.0000000E+00  0.0000000E+00      49833.01
    6703.000       328.1210       1.400000      0.0000000E+00  0.0000000E+00      44821.34
    7595.000       331.8052      0.0000000E+00  0.0000000E+00  0.0000000E+00      39810.90
    8581.000       335.1144      0.0000000E+00  0.0000000E+00  0.0000000E+00      34800.83
    9682.000       338.3430      0.0000000E+00  0.0000000E+00  0.0000000E+00      29803.44
    10935.00       341.4132      0.0000000E+00  0.0000000E+00  0.0000000E+00      24808.09
    12396.00       345.0262      0.0000000E+00  0.0000000E+00  0.0000000E+00      19818.58
    13236.00       348.0688      0.0000000E+00  0.0000000E+00  0.0000000E+00      17322.30	
    14177.00       353.2416      0.0000000E+00  0.0000000E+00  0.0000000E+00      14829.76
    15260.00       363.7825      0.0000000E+00  0.0000000E+00  0.0000000E+00      12342.70
    16568.00       385.1966      0.0000000E+00  0.0000000E+00  0.0000000E+00       9855.66
    17883.00       418.1352      0.0000000E+00  0.0000000E+00  0.0000000E+00       7870.31
    19620.00       467.0863      0.0000000E+00  0.0000000E+00  0.0000000E+00       5887.59
    20743.00       499.7953      0.0000000E+00  0.0000000E+00  0.0000000E+00       4898.59
    22139.00       540.9318      0.0000000E+00  0.0000000E+00  0.0000000E+00       3910.91
    23971.00       596.1987      0.0000000E+00  0.0000000E+00  0.0000000E+00       2922.98
    30000.00       778.0787      0.0000000E+00  0.0000000E+00  0.0000000E+00       1137.80
